UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,7,2019,9,4067320,2075719,1991601,1488247,1422156,312356,303775,33418,32561,114038,109494,6265,6115,121395,117500,1599990,1530099,377423,367346,58076,56705,158778,152294,14919,14415,1536165,1471128,1028069,978192,282529,274948,17177,16980,107864,103630,4195,4066,96331,93312,1117152,1064292,334904,326034,33088,32725,144999,139235,10552,10111,539554,520473,460178,443964,29827,28827,16241,15581,6174,5864,2070,2049,25064,24188,482838,465807,42519,41312,24988,23980,13779,13059,4367,4304
R,7,2019,10,4066272,2074439,1991833,1492712,1426542,314275,306586,33015,32008,110691,107045,6211,6190,117535,113462,1600581,1530838,377435,368227,57114,54851,153637,148065,14556,14259,1538496,1475589,1034003,984875,284989,278041,17387,16953,104575,101262,4178,4185,93364,90273,1120079,1068252,335978,327945,32968,31680,140297,135484,10326,10124,535943,516244,458709,441667,29286,28545,15628,15055,6116,5783,2033,2005,24171,23189,480502,462586,41457,40282,24146,23171,13340,12581,4230,4135
R,7,2019,11,4194335,2140657,2053678,1543323,1473356,324248,316518,34345,33082,114619,110480,6418,6211,117704,114031,1651266,1577918,387429,378769,58390,56387,157582,151418,15022,14208,1586582,1522094,1067403,1017579,294343,287475,18025,17591,108656,104677,4355,4125,93800,90647,1153778,1101023,345620,337907,33656,32585,144501,138734,10673,10019,554075,531584,475920,455777,29905,29043,16320,15491,5963,5803,2063,2086,23904,23384,497488,476895,41809,40862,24734,23802,13081,12684,4349,4189
R,7,2019,12,4213041,2152085,2060956,1558356,1487284,325181,315049,34904,33304,113209,108260,6363,6285,114072,110774,1663000,1588681,386138,374865,58625,56419,154870,148105,14703,14344,1597969,1528367,1082010,1029144,295648,286641,18051,17733,107130,102595,4339,4203,90791,88051,1165678,1110045,345009,335192,33491,32641,141775,135803,10494,10123,554116,532589,476346,458140,29533,28408,16853,15571,6079,5665,2024,2082,23281,22723,497322,478636,41129,39673,25134,23778,13095,12302,4209,4221
R,7,2019,13,4178933,2134771,2044162,1556640,1482110,316229,309196,34195,32874,111951,108669,6264,6077,109492,105236,1657015,1578547,373916,365185,57436,55110,152287,146985,14236,13680,1591576,1522335,1087585,1031763,288102,281725,18042,17572,106135,103285,4258,4111,87454,83879,1168045,1108920,335057,327340,33191,31994,139936,135248,10172,9691,543195,521827,469055,450347,28127,27471,16153,15302,5816,5384,2006,1966,22038,21357,488970,469627,38859,37845,24245,23116,12351,11737,4064,3989
R,7,2019,14,4167472,2127210,2040262,1556549,1483405,312728,303774,33776,32925,113059,112240,6273,6098,104825,101820,1652409,1576361,367238,357238,56657,54926,151932,149541,13913,13465,1594342,1529075,1095507,1041366,285371,277306,17976,17569,107457,106954,4297,4253,83734,81627,1172392,1116126,329696,321028,32901,31928,140107,138378,9960,9770,532868,511187,461042,442039,27357,26468,15800,15356,5602,5286,1976,1845,21091,20193,480017,460235,37542,36210,23756,22998,11825,11163,3953,3695
R,7,2019,15,4178242,2131232,2047010,1566781,1494461,310555,302217,32990,32219,113649,113624,6102,5832,101155,98657,1659299,1584656,362442,353402,55375,54078,151372,149967,13573,13085,1610519,1544150,1114995,1058392,284145,276764,17866,17301,108169,108452,4261,4051,81083,79190,1189456,1131004,326489,318645,32691,31918,139906,139039,9849,9427,520713,502860,451786,436069,26410,25453,15124,14918,5480,5172,1841,1781,20072,19467,469843,453652,35953,34757,22684,22160,11466,10928,3724,3658
R,7,2019,16,4152752,2117603,2035149,1559455,1488347,308869,301175,32790,31541,113904,113990,6087,5829,96498,94267,1647432,1574447,358148,349332,54822,53189,149654,148828,13412,12720,1605254,1539595,1114395,1057507,282901,276527,17602,16994,108576,108830,4246,4092,77534,75645,1185339,1126872,323203,315897,32294,31458,138730,138130,9731,9314,512349,495554,445060,430840,25968,24648,15188,14547,5328,5160,1841,1737,18964,18622,462093,447575,34945,33435,22528,21731,10924,10698,3681,3406
R,7,2019,17,4144536,2114057,2030479,1556577,1484503,314527,306629,32717,31266,111468,110999,5895,5686,92873,91396,1641242,1567582,361783,353732,54489,53001,145568,144019,12901,12528,1605874,1541125,1114395,1058540,288837,282016,17774,17130,106306,106079,4158,3968,74404,73392,1182454,1125547,327502,320591,32222,31712,134935,133819,9471,9146,508183,489354,442182,425963,25690,24613,14943,14136,5162,4920,1737,1718,18469,18004,458788,442035,34281,33141,22267,21289,10633,10200,3430,3382
R,7,2019,18,4257953,2173898,2084055,1596084,1520751,326230,317634,32945,31810,119048,117433,5896,5824,93695,90603,1681212,1603188,373675,363900,55378,53431,153509,150331,13026,12754,1660241,1591144,1148548,1090888,300373,293192,18175,17614,113897,112612,4217,4027,75031,72811,1216851,1157350,339039,331157,33294,32226,142959,140366,9585,9272,513657,492911,447536,429863,25857,24442,14770,14196,5151,4821,1679,1797,18664,17792,464361,445838,34636,32743,22084,21205,10550,9965,3441,3482
