UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,7,2019,100,100442,23531,76911,19186,63744,1745,7312,152,374,2172,4756,37,88,239,637,19378,64255,1819,7549,278,725,2249,4917,74,175,22024,72767,17803,59955,1696,7138,121,320,2162,4720,34,79,208,555,17972,60398,1758,7336,230,631,2229,4860,64,157,1507,4144,1383,3789,49,174,31,54,10,36,3,9,31,82,1406,3857,61,213,48,94,20,57,10,18
R,8,2019,999,328480460,161766910,166713550,123971085,126152716,21202996,23055116,2138875,2109646,9434984,10302280,421486,408956,4597484,4684836,128068427,130305776,23278315,25214016,3489786,3524642,11145780,12010150,826004,817425,131250455,136741209,97273659,99972692,19708269,21511017,1191943,1231555,9119208,9986145,305046,299989,3652330,3739811,100527938,103285488,21342808,23220861,2149251,2255447,10568266,11432045,621396,621070,30516455,29972341,26697426,26180024,1494727,1544099,946932,878091,315776,316135,116440,108967,945154,945025,27540489,27020288,1935507,1993155,1340535,1269195,577514,578105,204608,196355
R,8,2019,0,3758508,1919209,1839299,1336638,1277800,302289,294719,35964,34582,112641,106129,7194,6749,124483,119320,1451118,1387521,371224,360982,59172,56922,158598,149942,15705,14826,1421383,1358075,931067,885293,267201,260663,14546,14076,104730,98644,4395,4133,99444,95266,1023030,973383,323068,314379,29409,28376,142891,134979,10622,10028,497826,481224,405571,392507,35088,34056,21418,20506,7911,7485,2799,2616,25039,24054,428088,414138,48156,46603,29763,28546,15707,14963,5083,4798
R,8,2019,1,3833035,1958301,1874734,1362545,1301212,307077,299676,36642,34832,118443,111207,7275,6873,126319,120934,1478698,1412395,376733,366699,60221,57473,165283,155727,15957,15085,1453840,1388268,950120,903099,272576,266231,14609,14101,110744,103795,4550,4263,101241,96779,1043713,992543,329212,320658,29753,28647,149804,140859,10935,10293,504461,486466,412425,398113,34501,33445,22033,20731,7699,7412,2725,2610,25078,24155,434985,419852,47521,46041,30468,28826,15479,14868,5022,4792
R,8,2019,2,3904284,1996463,1907821,1392689,1327301,307866,299963,35864,34703,125396,117577,7402,7033,127246,121244,1509593,1438745,377104,366667,59828,57662,173292,162433,16324,15362,1484018,1413887,969745,920104,274111,267152,15605,14925,117751,110261,4747,4422,102059,97023,1063968,1009744,330306,321297,31126,29738,157818,147609,11367,10541,512445,493934,422944,407197,33755,32811,20259,19778,7645,7316,2655,2611,25187,24221,445625,429001,46798,45370,28702,27924,15474,14824,4957,4821
R,8,2019,3,4006419,2047115,1959304,1443136,1375632,308291,302088,35484,34172,124511,117440,7301,6997,128392,122975,1561159,1488715,377809,369209,60045,57716,172752,163125,16292,15503,1521725,1454332,1006299,955766,274972,269801,16114,15577,116808,110184,4627,4419,102905,98585,1101369,1046887,331445,324354,32056,30875,157067,148300,11271,10698,525390,504972,436837,419866,33319,32287,19370,18595,7703,7256,2674,2578,25487,24390,459790,441828,46364,44855,27989,26841,15685,14825,5021,4805
R,8,2019,4,4043753,2067195,1976558,1456142,1387928,313845,305701,35104,34035,126656,119032,7247,7000,128201,122862,1574000,1500885,383250,372706,59785,57639,174650,164665,16232,15490,1541436,1469482,1017892,965706,280211,273091,16501,15761,119248,111910,4627,4433,102957,98581,1113009,1056791,336602,327568,32630,31120,159442,150059,11309,10738,525759,507076,438250,422222,33634,32610,18603,18274,7408,7122,2620,2567,25244,24281,460991,444094,46648,45138,27155,26519,15208,14606,4923,4752
R,8,2019,5,4037644,2065817,1971827,1458429,1385968,314081,305811,35369,34121,124095,117514,6971,6709,126872,121704,1575087,1497852,382356,372272,59977,57639,171782,162485,15988,15213,1543631,1470453,1023140,968319,280273,273234,16821,16144,117013,110779,4520,4338,101864,97639,1117291,1058530,335696,327279,32939,31497,156940,148330,11192,10641,522186,501374,435289,417649,33808,32577,18548,17977,7082,6735,2451,2371,25008,24065,457796,439322,46660,44993,27038,26142,14842,14155,4796,4572
R,8,2019,6,4019597,2054089,1965508,1449106,1382582,312457,304462,35165,33837,125168,118151,6941,6632,125252,119844,1564147,1492582,379436,369403,59575,57304,172609,162820,16024,15147,1535907,1465570,1015966,964918,279545,272643,16995,16263,118323,111437,4555,4280,100523,96029,1108753,1053489,333874,325342,32988,31616,158065,148744,11259,10520,518182,499938,433140,417664,32912,31819,18170,17574,6845,6714,2386,2352,24729,23815,455394,439093,45562,44061,26587,25688,14544,14076,4765,4627
R,8,2019,7,4027319,2057991,1969328,1457836,1390972,312849,303847,35923,34799,121094,115045,6743,6481,123546,118184,1571270,1499482,379041,367640,60396,58228,167494,159007,15652,14960,1535253,1464865,1020260,968600,280347,272578,17041,16437,114373,108543,4360,4175,98872,94532,1111486,1055831,333908,324250,33037,31734,153172,145227,10929,10402,522738,504463,437576,422372,32502,31269,18882,18362,6721,6502,2383,2306,24674,23652,459784,443651,45133,43390,27359,26494,14322,13780,4723,4558
R,8,2019,8,4073578,2083499,1990079,1484622,1413640,315310,306455,34720,33653,118233,112154,6657,6345,123957,117832,1598500,1521814,381684,369888,59536,57403,164520,155855,15624,14789,1547673,1473667,1031571,977695,283967,275774,17340,16471,111660,105855,4298,4085,98837,93787,1122807,1064212,337576,326923,33509,31913,150199,142196,10876,10243,535826,516412,453051,435945,31343,30681,17380,17182,6573,6299,2359,2260,25120,24045,475693,457602,44108,42965,26027,25490,14321,13659,4748,4546
R,8,2019,9,4072567,2078643,1993924,1489671,1423537,312942,304152,33535,32599,114451,109894,6279,6118,121765,117624,1601730,1531604,378176,367741,58281,56742,159350,152793,14984,14443,1538493,1472768,1029092,979100,283111,275220,17195,16959,108247,104008,4190,4068,96658,93413,1118460,1065306,335611,326324,33188,32686,145532,139707,10585,10146,540150,521156,460579,444437,29831,28932,16340,15640,6204,5886,2089,2050,25107,24211,483270,466298,42565,41417,25093,24056,13818,13086,4399,4297
R,8,2019,10,4060134,2071121,1989013,1489947,1424099,313432,305905,33035,32045,110814,107119,6249,6177,117644,113668,1597958,1528552,376586,367681,57138,54955,153916,148228,14577,14256,1535699,1472854,1031775,982653,284176,277309,17410,16953,104720,101339,4224,4166,93394,90434,1117911,1066143,335144,327282,32965,31754,140552,135637,10352,10105,535422,516159,458172,441446,29256,28596,15625,15092,6094,5780,2025,2011,24250,23234,480047,462409,41442,40399,24173,23201,13364,12591,4225,4151
R,8,2019,11,4187439,2137385,2050054,1540581,1470385,323950,316082,34211,32909,114505,110325,6389,6203,117749,114150,1648571,1575090,387222,378399,58189,56209,157479,151313,14987,14194,1584392,1519654,1065737,1015613,294026,287119,17942,17519,108506,104521,4331,4136,93850,90746,1152156,1099178,345372,337619,33531,32517,144364,138624,10660,10022,552993,530400,474844,454772,29924,28963,16269,15390,5999,5804,2058,2067,23899,23404,496415,475912,41850,40780,24658,23692,13115,12689,4327,4172
R,8,2019,12,4214470,2152422,2062048,1558209,1487533,325100,315462,34825,33366,113410,108428,6356,6293,114522,110966,1663271,1589133,386321,375444,58667,56482,155161,148308,14734,14353,1597504,1528629,1081104,1028819,295517,286912,18055,17769,107361,102752,4326,4205,91141,88172,1165092,1109854,345103,335556,33567,32667,142072,135968,10502,10123,554918,533419,477105,458714,29583,28550,16770,15597,6049,5676,2030,2088,23381,22794,498179,479279,41218,39888,25100,23815,13089,12340,4232,4230
R,8,2019,13,4181275,2136165,2045110,1556227,1482131,317325,309659,34285,32889,112090,108585,6269,6072,109969,105774,1657029,1579051,375320,366018,57584,55211,152607,147047,14283,13699,1592048,1522292,1086634,1031078,289097,282092,18036,17571,106221,103177,4263,4093,87797,84281,1167416,1108593,336259,327993,33205,32043,140174,135267,10198,9696,544117,522818,469593,451053,28228,27567,16249,15318,5869,5408,2006,1979,22172,21493,489613,470458,39061,38025,24379,23168,12433,11780,4085,4003
R,8,2019,14,4169532,2128428,2041104,1557122,1483388,312997,304335,33842,32991,113068,112092,6287,6144,105112,102154,1653292,1576691,367732,358033,56701,55033,152003,149503,13916,13531,1594280,1528610,1095070,1040223,285497,277809,17983,17589,107484,106818,4306,4278,83940,81893,1172185,1115258,330024,321728,32884,31981,140157,138323,9950,9803,534148,512494,462052,443165,27500,26526,15859,15402,5584,5274,1981,1866,21172,20261,481107,461433,37708,36305,23817,23052,11846,11180,3966,3728
R,8,2019,15,4174596,2129341,2045255,1564610,1492475,310394,302127,33053,32177,113746,113772,6134,5861,101404,98843,1657335,1582824,362463,353389,55440,54040,151607,150212,13642,13125,1607721,1541909,1112070,1056114,283936,276602,17884,17269,108249,108554,4276,4072,81306,79298,1186717,1128813,326392,318534,32716,31845,140133,139225,9900,9458,521620,503346,452540,436361,26458,25525,15169,14908,5497,5218,1858,1789,20098,19545,470618,454011,36071,34855,22724,22195,11474,10987,3742,3667
R,8,2019,16,4154813,2118696,2036117,1560171,1488784,308755,301052,32763,31598,113936,114186,6086,5810,96985,94687,1648635,1575257,358301,349497,54848,53240,149871,149228,13416,12751,1605510,1539922,1114511,1057525,282702,276316,17598,16990,108586,109030,4243,4077,77870,75984,1185804,1127191,323211,315917,32305,31448,138869,138496,9725,9333,513186,496195,445660,431259,26053,24736,15165,14608,5350,5156,1843,1733,19115,18703,462831,448066,35090,33580,22543,21792,11002,10732,3691,3418
R,8,2019,17,4152739,2118283,2034456,1559678,1487505,314511,306663,32811,31357,112105,111479,5919,5720,93259,91732,1644682,1570901,361921,353915,54654,53082,146378,144675,12975,12574,1608549,1543455,1116143,1060071,288785,282024,17815,17147,106900,106551,4180,3999,74726,73663,1184481,1127332,327582,320720,32317,31710,135684,134441,9528,9186,509734,491001,443535,427434,25726,24639,14996,14210,5205,4928,1739,1721,18533,18069,460201,443569,34339,33195,22337,21372,10694,10234,3447,3388
R,8,2019,18,4251285,2170350,2080935,1593789,1518838,325294,316637,32911,31743,118739,117144,5903,5799,93714,90774,1678928,1601458,372802,363023,55314,53417,153195,150080,13037,12725,1656937,1588239,1146567,1089216,299397,292182,18122,17582,113581,112300,4203,4013,75067,72946,1214906,1155830,338131,330241,33213,32218,142636,140082,9576,9255,513413,492696,447222,429622,25897,24455,14789,14161,5158,4844,1700,1786,18647,17828,464022,445628,34671,32782,22101,21199,10559,9998,3461,3470
R,8,2019,19,4332328,2215307,2117021,1624853,1541892,336851,327075,33923,32419,121132,119731,6124,5784,92424,90120,1708950,1623494,383476,373283,56796,54597,154528,152026,13135,12679,1698158,1623675,1173806,1111893,310993,302355,18838,18024,115963,114850,4382,4101,74176,72452,1241456,1177680,349060,340196,34294,33167,144224,142049,9727,9333,517149,493346,451047,429999,25858,24720,15085,14395,5169,4881,1742,1683,18248,17668,467494,445814,34416,33087,22502,21430,10304,9977,3408,3346
R,8,2019,20,4274873,2185710,2089163,1608298,1527288,329585,319880,32891,31828,119035,117387,6046,5594,89855,87186,1689863,1606167,374621,364336,55445,53928,151364,148326,13191,12314,1683465,1609363,1170142,1108913,304393,295868,18418,17917,113939,112569,4314,4003,72259,70093,1235915,1172465,341284,332376,33902,33168,141217,138511,9761,9134,502245,479800,438156,418375,25192,24012,14473,13911,5096,4818,1732,1591,17596,17093,453948,433702,33337,31960,21543,20760,10147,9815,3430,3180
R,8,2019,21,4283322,2188672,2094650,1607389,1527692,331705,322470,32896,31879,123312,121957,6053,5668,87317,84984,1686340,1604739,375149,365308,55278,53783,154578,151946,12909,12134,1691676,1620941,1173359,1114146,306996,298964,18350,18038,118319,117143,4371,4059,70281,68591,1237034,1176492,342631,334189,33744,33302,144759,142455,9671,9028,496996,473709,434030,413546,24709,23506,14546,13841,4993,4814,1682,1609,17036,16393,449306,428247,32518,31119,21534,20481,9819,9491,3238,3106
R,8,2019,22,4295583,2193028,2102555,1609454,1532901,330356,322153,32566,31435,130115,127717,6061,5600,84476,82749,1685896,1607561,371623,363222,54910,53511,160637,157058,12715,12093,1699216,1633035,1178008,1122471,306029,299273,18126,17804,125151,122991,4366,4056,67536,66440,1239289,1182482,339485,332818,33466,33146,150903,147778,9468,9051,493812,469520,431446,410430,24327,22880,14440,13631,4964,4726,1695,1544,16940,16309,446607,425079,32138,30404,21444,20365,9734,9280,3247,3042
R,8,2019,23,4340030,2219299,2120731,1628253,1544835,330931,323725,32835,31222,138003,134498,6286,5853,82991,80598,1703243,1617439,370774,363122,55451,53268,168022,163406,12910,12374,1725900,1652323,1196605,1134855,306906,301164,18367,17616,133121,129723,4541,4214,66360,64751,1256689,1193286,339211,333310,33901,32949,158552,154157,9672,9318,493399,468408,431648,409980,24025,22561,14468,13606,4882,4775,1745,1639,16631,15847,446554,424153,31563,29812,21550,20319,9470,9249,3238,3056
R,8,2019,24,4442945,2275764,2167181,1662110,1572121,348594,338080,33449,31999,143565,139622,6512,6219,81534,79140,1735268,1642965,387195,376578,56502,54174,173110,167934,13311,12841,1775145,1693628,1223706,1157711,323913,314768,18963,18164,138566,134870,4744,4511,65253,63604,1282263,1214744,355151,346057,35081,33831,163685,158818,10023,9697,500619,473553,438404,414410,24681,23312,14486,13835,4999,4752,1768,1708,16281,15536,453005,428221,32044,30521,21421,20343,9425,9116,3288,3144
R,8,2019,25,4528884,2320172,2208712,1686401,1592819,364546,353410,33963,32779,149423,145324,6555,6381,79284,77999,1757171,1662331,401183,390562,57186,55561,178410,173278,13513,13017,1814714,1733103,1243081,1176521,339540,329927,19521,18718,144516,140559,4823,4679,63233,62699,1299515,1232415,369046,360145,35780,34934,169103,164248,10238,9866,505458,475609,443320,416298,25006,23483,14442,14061,4907,4765,1732,1702,16051,15300,457656,429916,32137,30417,21406,20627,9307,9030,3275,3151
R,8,2019,26,4612307,2366198,2246109,1716390,1614856,377742,363863,35363,33622,153772,152199,6837,6420,76094,75149,1784058,1681556,412087,398913,58201,56357,182007,179282,13595,12994,1854797,1769776,1267697,1197558,352154,340267,20317,19571,148940,147396,4989,4709,60700,60275,1321707,1251085,379647,368510,36335,35765,173022,170471,10301,9852,511401,476333,448693,417298,25588,23596,15046,14051,4832,4803,1848,1711,15394,14874,462351,430471,32440,30403,21866,20592,8985,8811,3294,3142
R,8,2019,27,4728449,2420273,2308176,1757227,1658218,384279,373107,36884,34298,160031,161387,7027,6598,74825,74568,1823358,1723999,416671,406757,60190,56996,188264,189266,13906,13371,1900344,1825618,1301424,1236076,358257,348423,21214,20178,155072,156422,5071,4847,59306,59672,1353796,1288748,383747,375311,37562,36348,179208,180199,10500,10095,519929,482558,455803,422142,26022,24684,15670,14120,4959,4965,1956,1751,15519,14896,469562,435251,32924,31446,22628,20648,9056,9067,3406,3276
R,8,2019,28,4822077,2453742,2368335,1782532,1698365,386877,383247,36920,33874,168169,172560,7755,6994,71489,73295,1844767,1762262,417132,416174,59193,55975,196304,200921,14909,14060,1936757,1890850,1331017,1282844,360057,357265,21050,20072,162867,167180,5643,5194,56123,58295,1379711,1333568,383509,383323,36472,35623,186867,191308,11260,10811,516985,477485,451515,415521,26820,25982,15870,13802,5302,5380,2112,1800,15366,15000,465056,428694,33623,32851,22721,20352,9437,9613,3649,3249
R,8,2019,29,4823454,2449150,2374304,1787578,1706579,379084,380268,36316,33179,171563,177762,7882,7186,66727,69330,1845814,1767198,406487,410725,57110,54554,198427,204530,14577,13802,1935242,1904704,1338179,1297977,352545,354176,20379,19729,166232,172521,5656,5373,52251,54928,1383595,1345866,373550,378028,34747,34693,189216,195411,10926,10625,513908,469600,449399,408602,26539,26092,15937,13450,5331,5241,2226,1813,14476,14402,462219,421332,32937,32697,22363,19861,9211,9119,3651,3177
R,8,2019,30,4633978,2351546,2282432,1723240,1640534,354118,360055,34646,31349,170395,179417,7665,6802,61482,64275,1776871,1696475,378932,387835,54234,51131,195061,204763,13798,13090,1862414,1838901,1295429,1254294,328981,335420,19164,18591,165388,174307,5610,5132,47842,51157,1337001,1298647,347676,357185,32538,32556,186536,196146,10502,10155,489132,443531,427811,386240,25137,24635,15482,12758,5007,5110,2055,1670,13640,13118,439870,397828,31256,30650,21696,18575,8525,8617,3296,2935
R,8,2019,31,4524526,2291503,2233023,1694373,1618242,331154,340161,34040,30547,166272,176314,7574,6794,58090,60965,1744804,1671380,353957,366216,52467,49436,190121,200462,13644,12797,1805031,1795305,1267821,1236738,307070,316148,18462,17768,161428,171469,5472,5116,44778,48066,1306529,1278553,323996,336156,30802,30968,181839,192173,10246,9921,486472,437718,426552,381504,24084,24013,15578,12779,4844,4845,2102,1678,13312,12899,438275,392827,29961,30060,21665,18468,8282,8289,3398,2876
R,8,2019,32,4429205,2243786,2185419,1671361,1591420,314941,326114,32680,29482,162893,173184,7502,6667,54409,58552,1718571,1642462,336242,350853,50382,48054,185092,196362,13164,12383,1766288,1754832,1251642,1215590,291878,302799,17545,17120,158124,168551,5365,4950,41734,45822,1287608,1255387,307513,321646,29404,29972,177146,188445,9903,9503,477498,430587,419719,375830,23063,23315,15135,12362,4769,4633,2137,1717,12675,12730,430963,387075,28729,29207,20978,18082,7946,7917,3261,2880
R,8,2019,33,4437774,2245920,2191854,1682850,1605153,307076,321157,32431,29431,163190,173549,7557,6746,52816,55818,1728701,1653504,327206,344295,49780,47708,184811,195610,13225,12373,1764751,1760288,1259509,1227834,284041,297867,17019,16825,158430,169026,5393,5083,40359,43653,1294364,1265475,298624,315471,28618,29622,176879,187880,9898,9598,481169,431566,423341,377319,23035,23290,15412,12606,4760,4523,2164,1663,12457,12165,434337,388029,28582,28824,21162,18086,7932,7730,3327,2775
R,8,2019,34,4465877,2252816,2213061,1694801,1623906,303842,320903,31886,29385,163648,176916,7473,6726,51166,55225,1739147,1671835,323050,343064,49193,47691,184476,199100,13007,12390,1769502,1777811,1268977,1243024,281252,297635,16517,16767,158960,172390,5283,5097,38513,42898,1302089,1280078,294892,314097,27913,29541,176670,191403,9657,9637,483314,435250,425824,380882,22590,23268,15369,12618,4688,4526,2190,1629,12653,12327,437058,391757,28158,28967,21280,18150,7806,7697,3350,2753
R,8,2019,35,4335125,2177234,2157891,1639685,1583888,288563,309783,31093,28735,162063,175828,7150,6468,48680,53189,1681832,1629944,306539,330571,47773,46759,182056,197508,12478,12048,1710836,1730524,1228527,1209460,267003,287388,16129,16270,157421,171499,5090,4817,36666,41090,1260049,1244881,279737,302683,27157,28775,174402,189975,9289,9268,466398,427367,411158,374428,21560,22395,14964,12465,4642,4329,2060,1651,12014,12099,421783,385063,26802,27888,20616,17984,7654,7533,3189,2780
R,8,2019,36,4364790,2187668,2177122,1652610,1600202,288207,312088,31399,29131,159748,176043,7201,6639,48503,53019,1694586,1645951,305988,332677,48155,47502,179592,197431,12501,12248,1718411,1744224,1238444,1221414,266791,288950,16122,16375,155152,171644,5178,4960,36724,40881,1269972,1256485,279391,304076,27386,29116,172012,189905,9378,9432,469257,432898,414166,378788,21416,23138,15277,12756,4596,4399,2023,1679,11779,12138,424614,389466,26597,28601,20769,18386,7580,7526,3123,2816
R,8,2019,37,4370593,2186109,2184484,1655218,1607806,287194,313752,30940,28610,158089,175738,7220,6633,47448,51945,1696256,1652557,304497,334144,47723,46858,177253,196394,12485,12127,1716150,1746859,1240307,1224077,265715,290739,15917,15848,153466,171165,5151,4890,35594,40140,1270829,1258465,277883,305785,27091,28607,169600,188755,9313,9287,469959,437625,414911,383729,21479,23013,15023,12762,4623,4573,2069,1743,11854,11805,425427,394092,26614,28359,20632,18251,7653,7639,3172,2840
R,8,2019,38,4307595,2150260,2157335,1634555,1592377,282625,310505,29922,28391,149733,169156,6985,6180,46440,50726,1674496,1636165,299498,330507,46579,46286,168438,189062,12165,11557,1691342,1726348,1229045,1214435,261920,287868,15248,15888,145178,164684,4983,4518,34968,38955,1258886,1247845,273821,302471,26415,28314,161007,181656,9072,8841,458918,430987,405510,377942,20705,22637,14674,12503,4555,4472,2002,1662,11472,11771,415610,388320,25677,28036,20164,17972,7431,7406,3093,2716
R,8,2019,39,4386919,2197307,2189612,1667671,1611837,294522,322025,30940,28687,150705,169925,7147,6455,46322,50683,1707616,1655474,311350,341981,47975,46852,169117,189716,12348,11904,1720760,1750328,1246768,1226191,272955,299026,15672,16034,146022,165436,4978,4802,34365,38839,1276139,1259353,284615,313534,26976,28726,161391,182243,9089,9186,476547,439284,420903,385646,21567,22999,15268,12653,4683,4489,2169,1653,11957,11844,431477,396121,26735,28447,20999,18126,7726,7473,3259,2718
R,8,2019,40,4132463,2061401,2071062,1567494,1525443,273567,303687,28592,26716,142717,162296,6272,5888,42759,47032,1604340,1565854,288988,322019,44327,43718,159676,180741,11089,10839,1624385,1659273,1181096,1164259,253783,281967,14749,14789,138531,158123,4409,4345,31817,35790,1208254,1194785,264468,295063,25189,26600,152818,173758,8202,8318,437016,411789,386398,361184,19784,21720,13843,11927,4186,4173,1863,1543,10942,11242,396086,371069,24520,26956,19138,17118,6858,6983,2887,2521
R,8,2019,41,4020881,2001944,2018937,1529012,1492793,261563,291916,27483,26327,137099,157312,6011,5552,40776,45037,1563987,1531369,276134,309232,42714,43000,153345,174966,10382,10238,1573069,1612007,1148781,1135131,242650,271021,14115,14510,133018,153073,4287,4102,30218,34170,1174392,1164142,252703,283355,24253,26071,146629,168061,7734,7869,428875,406930,380231,357662,18913,20895,13368,11817,4081,4239,1724,1450,10558,10867,389595,367227,23431,25877,18461,16929,6716,6905,2648,2369
R,8,2019,42,3988024,1979552,2008472,1514575,1486480,256795,289327,27529,26140,135560,157184,5870,5583,39223,43758,1548307,1523805,270669,306005,42447,42602,151036,174358,10194,10260,1556434,1601443,1138907,1127537,238673,268792,14343,14752,131360,153041,4140,4095,29011,33226,1163553,1155626,248074,280658,24390,26278,144299,167533,7530,7818,423118,407029,375668,358943,18122,20535,13186,11388,4200,4143,1730,1488,10212,10532,384754,368179,22595,25347,18057,16324,6737,6825,2664,2442
R,8,2019,43,3855570,1913159,1942411,1460823,1438315,246308,276827,26536,25091,136405,155991,5485,5265,37602,40922,1493179,1473138,259162,292198,40961,40697,151427,172174,9703,9598,1500696,1542822,1094073,1085123,228771,257009,13688,13871,132434,151888,3936,3861,27794,31070,1117708,1111300,237385,267897,23363,24814,145093,165578,7268,7346,412463,399589,366750,353192,17537,19818,12848,11220,3971,4103,1549,1404,9808,9852,375471,361838,21777,24301,17598,15883,6334,6596,2435,2252
R,8,2019,44,3955662,1966636,1989026,1506138,1476581,251935,283090,26541,25483,140726,159131,5628,5096,35668,39645,1536539,1510288,264102,297677,40500,40714,154964,174916,9598,9218,1551700,1588318,1135382,1120894,235024,263960,13672,14250,136763,155149,4078,3768,26781,30297,1157932,1146390,243415,274266,23219,24992,148884,168657,7268,7082,414936,400708,370756,355687,16911,19130,12869,11233,3963,3982,1550,1328,8887,9348,378607,363898,20687,23411,17281,15722,6080,6259,2330,2136
R,8,2019,45,3852903,1908780,1944123,1462903,1444949,243043,275634,25893,24628,137800,156102,5197,4988,33944,37822,1491782,1476916,254458,289492,39378,39444,151357,171064,9039,8987,1512570,1556022,1108023,1099383,227313,257524,13412,13907,134222,152331,3815,3696,25785,29181,1129734,1123763,235260,267498,22779,24542,145865,165209,6931,6928,396210,388101,354880,345566,15730,18110,12481,10721,3578,3771,1382,1292,8159,8641,362048,353153,19198,21994,16599,14902,5492,5855,2108,2059
R,8,2019,46,3877682,1913979,1963703,1466845,1459623,246581,281328,25305,24839,136756,155843,5077,4905,33415,37165,1495185,1490955,257495,294775,38724,39636,150237,170615,8823,8796,1529247,1582297,1121878,1119825,231415,263677,13383,14168,133266,152098,3754,3669,25551,28860,1143310,1143875,239011,273407,22828,24975,144920,164836,6794,6826,384732,381406,344967,339798,15166,17651,11922,10671,3490,3745,1323,1236,7864,8305,351875,347080,18484,21368,15896,14661,5317,5779,2029,1970
R,8,2019,47,4038658,1995735,2042923,1540252,1530567,255321,290101,25803,24886,136120,155303,5052,4847,33187,37219,1568267,1561938,265964,303246,39627,40186,149267,169858,8794,8803,1614529,1665049,1198154,1193474,240458,272813,13916,14427,132568,151687,3749,3607,25684,29041,1219566,1217665,248024,282332,23911,25679,143958,164346,6786,6855,381206,377874,342098,337093,14863,17288,11887,10459,3552,3616,1303,1240,7503,8178,348701,344273,17940,20914,15716,14507,5309,5512,2008,1948
R,8,2019,48,4260482,2103821,2156661,1642680,1634840,263849,302386,26019,25733,132203,150782,5059,4910,34011,38010,1671468,1666881,274643,315677,40505,41737,145458,165280,8988,9101,1726864,1781963,1304371,1300965,249148,285152,14485,15058,128630,147192,3738,3689,26492,29907,1326572,1325915,256805,294852,25109,27102,140115,159734,6951,7145,376957,374698,338309,333875,14701,17234,11534,10675,3573,3590,1321,1221,7519,8103,344896,340966,17838,20825,15396,14635,5343,5546,2037,1956
R,8,2019,49,4332093,2145737,2186356,1680617,1665834,267606,301324,26301,25528,132451,151446,5157,5071,33605,37153,1709007,1696921,278232,314169,40819,41531,145253,165646,9151,9281,1767283,1817768,1341126,1336996,252717,284569,14510,15277,128932,147795,3862,3858,26136,29273,1362941,1361240,260287,294015,25183,27330,139974,160003,7160,7341,378454,368588,339491,328838,14889,16755,11791,10251,3519,3651,1295,1213,7469,7880,346066,335681,17945,20154,15636,14201,5279,5643,1991,1940
R,8,2019,50,4115787,2035041,2080746,1601879,1594696,248030,280563,24855,24190,124388,142463,4775,4802,31114,34032,1628248,1623231,257476,291928,38726,39389,136204,155237,8370,8593,1681458,1734870,1284354,1285907,234222,264917,14055,14528,121166,139071,3600,3643,24061,26804,1304537,1308164,240746,273124,24270,26056,131375,150127,6545,6776,353583,345876,317525,308789,13808,15646,10800,9662,3222,3392,1175,1159,7053,7228,323711,315067,16730,18804,14456,13333,4829,5110,1825,1817
R,8,2019,51,4002032,1975672,2026360,1553589,1550444,246058,279101,24124,23497,118284,136525,4525,4620,29092,32173,1578025,1577176,254818,289804,37393,38089,129269,148465,7924,8451,1634734,1692324,1247571,1251856,232424,263865,13576,14389,115271,133398,3370,3498,22522,25318,1266233,1272626,238472,271578,23463,25545,124755,143724,6190,6692,340938,334036,306018,298588,13634,15236,10548,9108,3013,3127,1155,1122,6570,6855,311792,304550,16346,18226,13930,12544,4514,4741,1734,1759
R,8,2019,52,3998952,1967725,2031227,1558670,1567352,243733,278809,23401,23435,109355,125920,4567,4553,27999,31158,1582198,1593253,252043,289382,36515,37930,119679,136988,7894,8195,1641209,1708511,1265077,1278879,230861,263978,13602,14690,106421,122955,3439,3466,21809,24543,1283169,1299029,236602,271618,23451,25811,115343,132495,6243,6527,326516,322716,293593,288473,12872,14831,9799,8745,2934,2965,1128,1087,6190,6615,299029,294224,15441,17764,13064,12119,4336,4493,1651,1668
