ageGroup,pop,prop
25-29,48143814,0.1041636728834529
30-34,46996650,0.1016816755984087
35-39,44770808,0.09686585693522072
40-44,41569138,0.08993874254912816
45-49,40730832,0.08812498861679044
50-54,41478678,0.08974302382503543
55-59,43849630,0.09487280163097264
60-64,42164148,0.09122610268645304
65-69,36173944,0.07826573253461688
70-74,29664100,0.0641810723342782
75-79,20170426,0.04364061509094177
80-84,13049812,0.028234496509947433
85+,13431918,0.02906121880475367
